food,energy_kcal,protein_g,saturated_fats_g,fat,carbohydrates,fiber,sugars,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mcg,manganese_mg,selenium_mcg,vitc_mg,thiamin_mg,riboflavin_mg,niacin_mg,vitb6_mg,folate_mcg,vitb12_mcg,vita_mcg,vite_mg,vitd2_mcg,category
Costa Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Coffee Friend Brewed Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Hell Energy Coffee,150,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Killer Coffee (AU),0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Nescafe Gold,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Espresso Monster,170,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dunkin Donuts Shot In The Dark,80,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Illy Issimo Cafe,45,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Doubleshot Espresso,140,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
TrueStart Performance Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Bizzy Cold Brew,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Zola Coconut Water Espresso,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Barista Bros Iced Coffee,204,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dare Iced Coffee,429,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
V Iced Coffee,345,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Bottled Iced Coffee Dunkin Donuts,260,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Bottled Frappuccino,300,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Stok Cold Brew,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Wide Awake Iced Coffee Drinks,290,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Caribou Canned Cold Brew,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
McDonalds Iced Coffee,180,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Premier Protein Cafe Latte,160,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Stumptown Cold Brew Coffee,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Espresso Shot,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Peet's Coffee Espresso,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Peet's Decaf Espresso,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Gourmesso Coffee Pods,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Nespresso Coffee Capsules,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Stok Coffee Shots,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Bottled Iced Coffee,240,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Baskin Robbins Cappuccino Blast,470,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dunkin' Cold Brew,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dunkin' Donuts Iced Coffee,20,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dunkin' Donuts Iced Latte,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dutch Bros Coffee (Classic),10,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Tim Hortons Large Brewed Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
7 Eleven Brewed Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Arby's Jamocha Shake,830,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Biggby Brewed Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Biggby Creamy Lattes,387,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Biggby Iced Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Caribou Brewed Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Coffee Bean & Tea leaf Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Einstein Bros Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Latte,160,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
McDonalds (McCafe) Latte,190,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
McDonalds (McCafe) Mocha,380,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
McDonalds Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Panera Bread Coffee,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Peet's Brewed Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Peet's Caffe Americano,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Peet's Caffe Latte,190,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Peet's Caffe Mocha,390,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Peet's Cappuccino,140,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Peet's Iced Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Peet's Iced Latte,120,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Peet's Iced Mocha,310,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Caramel Macchiato,250,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Cold Brew Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Decaf Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Grande Caffe Americano,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Grande Caffe Latte,190,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Grande Caffe Mocha,370,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
